 -1.0000             -3.446991826690984 
 -0.8500             -2.899225091703099 
 -0.7000             -2.362431061894677 
 -0.5500             -1.836565786737540 
 -0.4000             -1.321541096765796 
 -0.2500             -0.817224553743917 
 -0.1000             -0.323441185650659 
 0.0500              0.160022877754007 
 0.2000              0.633415100659699 
 0.3500              1.097010072826527 
 0.5000              1.551102532748859 
 0.6500              1.996000554389803 
 0.8000              2.432019469402587 
 0.9500              2.859476919312884 
 1.1000              3.278689223964123 
 1.2500              3.689969055651532 
 1.4000              4.093624252675283 
 1.5500              4.489957506757997 
 1.7000              4.879266617856814 
 1.8500              5.261845019559408 
 2.0000              5.637982325005158 
 2.1500              6.007964711618536 
 2.3000              6.372075038199595 
 2.4500              6.730592658120220 
 2.6000              7.083792949288613 
