  1        3 0.33333333 
  2        9 0.11111111 
  3       30 0.03333333 
  4       95 0.01052632 
  5      300 0.00333333 
  6      940 0.00106383 
  7     2944 0.00033967 
  8     9215 0.00010852 
  9    28847 0.00003467 
 10    90297 0.00001107 
 11   282647 0.00000354 
 12   884736 0.00000113 
