 -1.0000             -3.670720325736554 
 -0.8500             -3.115352551721500 
 -0.7000             -2.561826276757378 
 -0.5500             -2.010665870056015 
 -0.4000             -1.462741314195765 
 -0.2500             -0.918097905014558 
 -0.1000             -0.371953050784052 
 0.0500              0.190505282870068 
 0.2000              0.782401504952155 
 0.3500              1.384069343305740 
 0.5000              1.943073128107716 
 0.6500              2.400774752471726 
 0.8000              2.729381926981072 
 0.9500              2.947394172455309 
 1.1000              3.092117640442488 
 1.2500              3.194003478981803 
 1.4000              3.271706599751806 
 1.5500              3.335574688380690 
 1.7000              3.391256915838584 
 1.8500              3.441900566504775 
